"Weeks_final" "Months" "Days" "Years" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "LUCKY" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS" "SNKHE" "HFORK" "LIMEP"
1 8 5 1979 228149.631412679 136515.028798599 332320.918708312 89892.7931056509 1823420.80751382 234534.44976851 240943.817379127 624939.996400162 227417.961117147 11451.6019033113 863167.036543248 36082.0381202195 156496.03265239 1730141.25262681 30340.2893195343 13063.1181734811 69878.5581174358 10603.3193958618 794986.228424655 627331.22820732 744284.288954314 5387.13230726084 1631386.28208226 4084.2825152907 82104.0000976946 780459.184688852 782289.416436022 789465.321078879 6536.01987269389 1613397.92867505 209211.962764535 153817.693831448 138420.668475959 226292.839707894 27559.9410072349 624939.996400162 37524.9877414859 9377.19266796319 78695.4122406613 934165.411396191 304276.414960889 1156.26452794334 913022.639078454 894797.85252562 239302.458484729 899488.332258255 874985.484603617 58504.7509112371 25774.3941563537 687758.423641366
2 8 12 1979 202920.245535056 146119.089707638 328122.051972046 79614.1565487588 1678088.50207611 206930.447824115 214816.608018063 562001.386204302 197964.0258515 9377.56616545477 831177.611241786 28963.2202443268 148468.662898631 1574081.09641048 32876.9848178807 11393.7804112168 57788.5519389187 7855.18616974391 764025.519579761 563830.922045111 646777.448896376 6688.80073632013 1481223.41177258 5309.44337162328 76071.5963672193 678965.090589887 682407.723456206 684282.395154692 5959.06986085838 1469100.35535769 245051.296412213 159323.956940692 142830.936707997 199673.973863646 33612.48260276 562001.386204302 41691.7506549738 8369.08075571009 78056.9632553625 891500.224257231 326553.725817661 1015.04235329397 874251.652837639 858221.930314584 209340.329075051 860130.348731957 841447.540399068 65438.5341994897 29882.8895221545 607345.328949376
3 8 19 1979 198572.40018298 172522.28696599 294027.300450717 77638.87685224 1604070.21026174 201416.386583117 209723.549990717 740555.330976137 197089.485077142 9584.50546560618 783997.004063267 27690.668414857 144094.127384599 1522256.26355808 36418.2251164415 14360.210684292 54742.1065359563 7300.10360410481 725473.759036338 732730.789120954 708427.476311828 9042.90354209558 1444356.58836007 6610.19308408524 74330.3782062202 784714.083432696 810616.625766641 771001.432401738 9132.26863006969 1464909.47998585 234163.731784737 195513.786544939 169945.842967569 199124.960139825 56640.1340741677 740555.330976137 46353.9636466976 12923.0764883262 75805.1276032952 837784.769185205 285376.258777944 894.629589571939 823408.755125474 811691.154867619 209365.983991387 806694.250284396 800650.30687865 72741.7782990062 36725.9884088006 741336.04739985
4 8 26 1979 204580.014520123 138200.584907244 339467.204563037 77735.5791183648 1831770.09966686 206286.91091605 215587.586545218 624868.673987634 208070.157064592 9068.52712208935 837280.83992847 48043.3466147115 155021.063476786 1732628.89363975 38975.733880397 17022.1668879497 73768.2728506979 7526.87686964141 776206.373455812 631833.756409892 788432.268218575 5914.71730105848 1645084.98027942 4267.63310178789 74926.9094950695 795723.2520629 786928.262643687 821498.187867253 6412.00324814967 1628390.61948448 233572.33792072 160491.813769639 140606.598170502 211130.003657172 34893.5418098407 624868.673987634 36847.3316472674 9040.26452455741 74164.1465387915 911324.559597725 269785.745954718 652.385276965433 901061.801844513 892217.57300155 223221.98083614 880838.493642717 883755.356382155 56645.9521029874 26339.3277334841 682389.481807403
5 9 2 1979 201623.458235488 116285.087836615 240413.18811051 77467.0946322651 1599438.25449288 206387.512187165 211452.515861949 545552.075779774 190435.817961099 7938.8849403625 758502.923343171 32098.0076022457 154858.155017093 1538756.46335088 40746.9041451753 13150.2686335603 54106.3013342776 7724.9525193181 700686.549379713 550297.27347938 637149.599922135 5392.77495403486 1451905.27756408 3839.3271884988 71582.0777700911 660741.250063757 661019.788504841 670869.988562871 5871.33289198794 1421236.13284717 199857.634001701 132010.741869401 117413.866547901 188173.256233088 23560.7391396024 545552.075779774 30879.3312360996 8447.02299967117 78802.6881759809 841617.689326709 229953.145203094 781.140898653697 821711.875287897 810979.925384605 198515.94535543 809340.208789548 796094.342765961 46780.3686834668 23574.0747770974 582850.73178521
6 9 9 1979 176413.426928365 109567.211243734 322220.461338986 70463.3329898863 1424817.94347071 179270.754119172 177494.914309867 569905.628506745 160133.106094156 7849.90546016943 742464.37605694 29507.6562645298 186512.946417848 1468947.12694785 46518.5473006476 7130.71393452755 38796.5848604008 5674.41429283191 721934.112420222 585477.341287004 633389.255456163 4851.9586530249 1391311.43316381 3061.76912529574 61578.5743265602 652771.636668878 650764.047686663 666059.518431202 6415.82515104617 1367690.30462288 153922.605481618 120527.446673802 111290.576531323 151482.533764974 5311.59647044841 569905.628506745 27083.4617092833 8699.39454674767 88981.5104866149 786601.490174893 221390.619351526 1214.67802401346 793155.810895326 788741.733720188 165264.093747632 761353.808905411 799151.459275999 42137.6646740855 21142.0929298803 585320.021826859
7 9 16 1979 154355.776854956 103021.193714542 385255.813141214 54872.3674574808 1531801.79755885 157346.166301218 155597.690066547 523472.149998032 140063.634014769 5624.9843820707 767481.671316519 23769.7289615127 139249.895039333 1570422.06209103 38430.9018797371 5628.60053474823 32281.0396670379 4269.46742580259 715719.633288926 536070.350714524 556732.386350904 4718.29892370188 1493665.43481584 2834.78581003096 51059.26148676 580552.314691446 581505.691802474 586963.959873838 5912.94065847889 1434811.69153759 163190.179643805 113792.014913479 105175.384681121 133404.105324102 4867.95321497836 523472.149998032 25467.3345487938 8128.14200301663 71497.862483138 852535.080197694 229349.546676135 741.425304199809 821473.200901008 806743.093831789 146606.977523409 814845.788489034 791003.216583483 39441.6167722162 20436.8090414536 532311.403376178
8 9 23 1979 141293.31292685 99433.8405369617 148571.333382481 44648.9924666858 1341794.38509545 144236.87127949 142504.650035475 498340.087377527 127762.653410785 5001.93294455232 504740.613840186 15862.5929559687 80937.5340247193 1365287.02326707 13435.1223265722 4706.77017867943 24929.3884048645 3134.33109293252 457082.085135332 510085.055072071 522255.609745698 4665.3102974451 1287762.03391319 2815.57183060138 41611.6752455899 547114.225148503 548436.560694796 551116.713242796 5556.64864430379 1194755.75156654 116849.070442818 110007.201768452 101667.22741056 121781.671707932 4658.49176233846 498340.087377527 25003.5705885668 7793.13729557498 64127.3613385508 604230.89693012 157651.281185063 588.308957230887 561400.430592979 543703.347120165 133888.915252265 570125.660004624 515233.638189723 38688.1127159618 20091.3656974668 506032.432600763
9 9 30 1979 133813.645962188 104579.177232405 161201.114445323 42708.3709606391 1017657.10676005 136180.800138528 134794.448746732 519135.303737912 122491.487799041 4890.62466934761 417367.871903103 14309.9335841363 83426.7182482852 1043309.86974866 24658.5753499848 4613.33223407849 22955.1960452682 2587.36873405986 393314.082593762 526908.294894808 505676.905861406 5183.26912240838 982819.176010686 3145.87117078371 40590.3603623954 538241.806144028 544833.319531504 537002.377371906 7252.40038932522 931360.246021233 130347.362180386 116640.441410484 106267.063156182 117016.663095017 5329.20206653563 519135.303737912 26935.6758420309 9615.29488034121 63627.6325689835 443865.617006926 171230.346398623 630.932040704674 433697.143442934 426938.994647054 128946.844329054 426331.049260682 419133.915294628 41798.8252443139 22135.7101894734 508738.425152999
10 10 7 1979 122244.14971855 84907.0878597802 157749.263927833 37699.7574568843 993345.759922898 131846.647533386 124811.535070371 435985.624429289 97301.204492769 3480.94887893892 384069.267703657 11059.3622333936 69321.0294340771 1008842.73213601 15971.6012373424 6562.35021561005 17168.7157976556 2180.56722809431 350465.172253482 447726.350995772 499345.845687306 4053.88185751877 909089.126745599 2373.68380290618 37759.1150967902 528999.10909026 526083.616968391 532855.505733423 4899.67571616268 866629.357789341 66324.9620676268 112192.101052513 98049.6832648611 93259.2750056748 4347.67051787222 435985.624429289 22338.3468429484 7588.54010749767 54498.5746815447 395431.169072812 96875.5912113624 546.139779676247 390070.22659573 389127.151272551 102024.028886405 376084.787291654 394814.061918415 33900.0644612247 18907.041594381 481470.045211493
